target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
dachs-local,dachs,Q12,votable,64,3,640,0.0,10.015,6.396425,6.735077,6.734576,6302.3,0.02,True,16
dachs-local,dachs,Q12,votable,8,1,551,0.0,9.101,0.857824,1.133931,1.133429,6302.3,0.015,True,16
dachs-local,dachs,Q12,votable,8,2,546,0.0,8.988,0.870422,1.137162,1.136693,6302.3,0.015,True,16
dachs-local,dachs,Q12,votable,8,3,545,0.0,8.975,0.863688,1.158406,1.157943,6302.3,0.01,True,16
dachs-local,dachs,Q13,votable,32,1,698,0.0,11.137,2.874916,3.152436,3.151973,5751.0,0.02,True,16
dachs-local,dachs,Q13,votable,32,2,697,0.0,11.17,2.851207,3.199331,3.198843,5751.0,0.015,True,16
dachs-local,dachs,Q13,votable,32,3,698,0.0,11.153,2.866768,3.178743,3.178233,5751.0,0.02,True,16
dachs-local,dachs,Q13,votable,64,1,705,0.0,10.772,5.659854,6.110812,6.109966,5751.0,0.02,True,16
dachs-local,dachs,Q13,votable,64,2,704,0.0,11.096,5.658923,6.065959,6.06549,5751.0,0.02,True,16
dachs-local,dachs,Q13,votable,64,3,704,0.0,11.128,5.740217,6.094801,6.0943,5751.0,0.025,True,16
dachs-local,dachs,Q13,votable,8,1,697,0.0,11.491,0.690491,0.97081,0.970333,5751.0,0.02,True,16
dachs-local,dachs,Q13,votable,8,2,689,0.0,11.385,0.703697,1.015863,1.015414,5751.0,0.015,True,16
dachs-local,dachs,Q13,votable,8,3,703,0.0,11.599,0.692105,0.961241,0.960785,5751.0,0.015,True,16
dachs-local,dachs,mix,votable,32,1,661,0.0,10.548,2.982184,3.549403,3.548837,59003.6,0.015,True,16
dachs-local,dachs,mix,votable,32,2,651,0.0,10.369,3.065333,3.568698,3.56821,53356.7,0.015,True,16
dachs-local,dachs,mix,votable,32,3,672,0.0,10.686,2.932684,3.48759,3.486069,57129.9,0.025,True,16
dachs-local,dachs,mix,votable,64,1,684,0.0,10.45,5.960294,6.622584,6.622145,59308.6,0.025,True,16
dachs-local,dachs,mix,votable,64,2,679,0.0,10.315,6.07283,6.668639,6.668191,52946.1,0.025,True,16
dachs-local,dachs,mix,votable,64,3,688,0.0,10.439,6.03647,6.633522,6.632973,56795.6,0.025,True,16
dachs-local,dachs,mix,votable,8,1,660,0.0,10.896,0.71541,1.174448,1.173986,58424.2,0.015,True,16
dachs-local,dachs,mix,votable,8,2,662,0.0,10.878,0.776331,1.13859,1.137946,58153.1,0.015,True,16
dachs-local,dachs,mix,votable,8,3,670,0.0,11.038,0.691535,1.191338,1.190888,58675.7,0.015,True,16
