target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local,24,mix,votable,32,2,28624,475.95,60.14586,0.937274,655.60307,10.900219,0.022904,2481390933.333333,2486816768,4
egernia-local,24,mix,votable,32,3,29359,488.152,60.240014,0.936465,678.04861,11.255784,0.023095,2494699520.0,2496024576,4
egernia-local,24,mix,votable,64,1,28163,467.588,60.306271,0.850282,662.415507,10.984189,0.023521,2527760011.636364,2539540480,4
egernia-local,24,mix,votable,64,2,28168,468.236,60.172364,0.938095,669.434782,11.125286,0.023766,2533658624.0,2546425856,4
egernia-local,24,mix,votable,64,3,28002,465.228,60.237981,0.851036,667.49472,11.080961,0.023837,2544915921.454545,2553004032,4
egernia-local,24,mix,votable,8,1,16706,278.008,60.116734,0.928673,329.890328,5.487496,0.019747,2199135573.333333,2203721728,4
egernia-local,24,mix,votable,8,2,18183,302.956,60.050753,0.9302,358.209877,5.965119,0.0197,2215294293.333333,2221039616,4
egernia-local,24,mix,votable,8,3,18759,312.207,60.144635,0.929509,368.448979,6.126049,0.019641,2234161493.333333,2246242304,4
dachs-local,8,Q01,csv,32,1,960,15.61,62.258793,0.889161,118.472136,1.902898,0.123408,1082839040.0,1086640128,
dachs-local,8,Q01,csv,32,2,960,15.612,62.494783,0.966303,119.049129,1.904945,0.12401,1084857737.846154,1087377408,
dachs-local,8,Q01,csv,32,3,936,15.172,61.995394,0.892679,117.976626,1.90299,0.126043,1083018240.0,1087610880,
dachs-local,8,Q01,csv,64,1,960,15.442,64.417059,0.937499,121.947009,1.893086,0.127028,1084756913.230769,1088651264,
dachs-local,8,Q01,csv,64,2,960,15.58,64.130916,0.941842,121.599677,1.896116,0.126666,1085984768.0,1089564672,
dachs-local,8,Q01,csv,64,3,960,15.388,64.981892,0.929219,122.829252,1.890207,0.127947,1084839778.461539,1089089536,
dachs-local,8,Q01,csv,8,1,1017,16.863,60.423837,0.915919,117.654128,1.947148,0.115687,1080465408.0,1084026880,
dachs-local,8,Q01,csv,8,2,1020,16.917,60.380589,0.916314,117.455391,1.945251,0.115152,1079885824.0,1082642432,
dachs-local,8,Q01,csv,8,3,1019,16.902,60.406534,0.916185,117.468509,1.944632,0.115278,1080032938.666667,1083568128,
dachs-local,8,Q02,csv,32,1,544,8.826,63.670907,0.949688,323.426678,5.079662,0.594534,1100089501.538461,1113972736,
dachs-local,8,Q02,csv,32,2,546,8.771,63.700078,0.870224,325.742268,5.113687,0.596598,1099892394.666667,1111986176,
dachs-local,8,Q02,csv,32,3,554,8.747,63.704913,0.949187,325.48827,5.109312,0.587524,1098053474.461539,1105883136,
dachs-local,8,Q02,csv,64,1,576,8.868,69.677546,0.940595,356.384065,5.114762,0.618722,1104004242.285714,1117093888,
dachs-local,8,Q02,csv,64,2,576,8.831,70.446883,0.929977,358.645506,5.091006,0.622648,1101996617.142857,1114611712,
dachs-local,8,Q02,csv,64,3,576,8.996,68.739835,0.87946,354.334154,5.154713,0.615163,1100223094.153846,1112432640,
dachs-local,8,Q02,csv,8,1,565,9.305,61.179069,0.905636,322.150026,5.26569,0.570177,1093004970.666667,1107795968,
dachs-local,8,Q02,csv,8,2,561,9.249,60.977763,0.908565,321.658524,5.275014,0.573366,1094156629.333333,1101983744,
dachs-local,8,Q02,csv,8,3,568,9.413,60.663865,0.913548,321.623296,5.301728,0.566238,1094958762.666667,1108111360,
dachs-local,8,Q03,csv,32,1,694,11.082,64.007914,0.864946,134.809292,2.106135,0.19425,1093984938.666667,1097973760,
dachs-local,8,Q03,csv,32,2,691,11.016,63.453358,0.951699,135.701759,2.138606,0.196385,1094030572.307692,1097519104,
dachs-local,8,Q03,csv,32,3,675,10.799,63.353927,0.953138,139.51024,2.202077,0.206682,1095467638.153846,1100283904,
dachs-local,8,Q03,csv,64,1,704,11.064,67.249106,0.973041,138.662049,2.061917,0.196963,1095208667.428571,1099898880,
dachs-local,8,Q03,csv,64,2,704,11.102,67.188707,0.973967,143.549774,2.136516,0.203906,1096621494.857143,1104515072,
dachs-local,8,Q03,csv,64,3,704,11.075,66.913985,0.977834,146.466337,2.188875,0.208049,1097175040.0,1103478784,
dachs-local,8,Q03,csv,8,1,693,11.496,60.339215,0.917589,127.867691,2.119147,0.184513,1091519146.666667,1098199040,
dachs-local,8,Q03,csv,8,2,698,11.52,60.65695,0.912243,130.288638,2.147959,0.18666,1091762858.666667,1099431936,
dachs-local,8,Q03,csv,8,3,692,11.47,60.625831,0.91291,133.951678,2.209482,0.193572,1093677738.666667,1109151744,
dachs-local,8,Q04,csv,32,1,688,10.988,63.396181,0.952546,117.846861,1.858895,0.171289,1098100420.923077,1103691776,
dachs-local,8,Q04,csv,32,2,680,10.897,62.527909,0.965973,115.544528,1.847887,0.169918,1098968142.769231,1104551936,
dachs-local,8,Q04,csv,32,3,618,9.87,62.957596,0.959534,106.355649,1.689322,0.172097,1100855138.461539,1107374080,
dachs-local,8,Q04,csv,64,1,704,10.961,67.718106,0.966169,125.39635,1.85174,0.17812,1101199360.0,1107660800,
dachs-local,8,Q04,csv,64,2,704,10.967,67.480596,0.969589,124.719859,1.848233,0.177159,1101131776.0,1106862080,
dachs-local,8,Q04,csv,64,3,704,11.098,65.199033,0.92616,120.689934,1.8511,0.171435,1102101267.692308,1105821696,
dachs-local,8,Q04,csv,8,1,701,11.619,60.744449,0.911242,112.260368,1.848076,0.160143,1093309098.666667,1097662464,
dachs-local,8,Q04,csv,8,2,696,11.523,60.558223,0.913941,111.825548,1.846579,0.160669,1094451541.333333,1098235904,
dachs-local,8,Q04,csv,8,3,696,11.519,60.42811,0.916086,111.983763,1.853173,0.160896,1095394304.0,1098752000,
dachs-local,8,Q05,csv,32,1,512,8.168,64.858553,0.932328,429.161756,6.616888,0.838207,1240286129.230769,1318064128,
dachs-local,8,Q05,csv,32,2,512,8.212,64.540905,0.858599,427.779635,6.628039,0.835507,1243688277.333333,1318551552,
