target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-final,argus,mix,csv,32,3,1536,0.0,25.079,1.29275,1.685559,1.679682,44174.5,0.03,True
argus-final,argus,mix,csv,4,1,921,0.0,15.285,0.388963,0.495259,0.491732,42070.3,0.03,True
argus-final,argus,mix,csv,4,2,836,0.0,13.876,0.398703,0.53144,0.528508,42065.6,0.03,True
argus-final,argus,mix,csv,4,3,991,0.0,16.417,0.383355,0.420979,0.41731,43559.7,0.03,True
argus-final,argus,mix,csv,8,1,1442,0.0,23.866,0.498619,0.575627,0.571154,42056.9,0.04,True
argus-final,argus,mix,csv,8,2,1417,0.0,23.461,0.499202,0.57223,0.565637,43738.1,0.045,True
argus-final,argus,mix,csv,8,3,1470,0.0,24.331,0.493587,0.574409,0.570438,42322.7,0.04,True
argus-final,argus,Q01,votable,1,1,5836,0.0,97.251,0.010105,0.011541,0.009309,2254.0,0.26,True
argus-final,argus,Q01,votable,1,2,5850,0.0,97.496,0.010048,0.011501,0.009264,2254.0,0.26,True
argus-final,argus,Q01,votable,1,3,5820,0.0,96.983,0.010055,0.011775,0.00944,2254.0,0.26,True
argus-final,argus,Q01,votable,32,1,34020,0.0,566.559,0.054516,0.064437,0.052771,2254.0,0.395,True
argus-final,argus,Q01,votable,32,2,33348,0.0,555.433,0.054827,0.064877,0.053097,2254.0,0.4,True
argus-final,argus,Q01,votable,32,3,34646,0.0,577.013,0.055132,0.064945,0.053218,2254.0,0.38,True
argus-final,argus,Q01,votable,4,1,15928,0.0,263.107,0.013654,0.016265,0.012872,2254.0,0.23,True
argus-final,argus,Q01,votable,4,2,16524,0.0,275.35,0.013592,0.016209,0.012791,2254.0,0.245,True
argus-final,argus,Q01,votable,4,3,16852,0.0,280.822,0.013787,0.016817,0.013332,2254.0,0.235,True
argus-final,argus,Q01,votable,8,1,24644,0.0,410.615,0.017913,0.021675,0.017033,2254.0,0.34,True
argus-final,argus,Q01,votable,8,2,25709,0.0,428.388,0.017865,0.021585,0.016915,2254.0,0.355,True
argus-final,argus,Q01,votable,8,3,26559,0.0,442.5,0.017835,0.021581,0.016998,2254.0,0.345,True
argus-final,argus,Q02,votable,1,1,154,0.0,2.564,0.390259,0.398223,0.394301,53739.7,0.015,True
argus-final,argus,Q02,votable,1,2,154,0.0,2.55,0.392089,0.398249,0.39405,53663.8,0.015,True
argus-final,argus,Q02,votable,1,3,154,0.0,2.554,0.390879,0.397167,0.393324,53670.8,0.02,True
argus-final,argus,Q02,votable,32,1,991,0.0,16.011,1.988538,2.112182,2.103405,53708.7,0.025,True
argus-final,argus,Q02,votable,32,2,992,0.0,16.046,1.988494,2.068451,2.060886,53708.7,0.03,True
argus-final,argus,Q02,votable,32,3,991,0.0,16.052,1.986686,2.095,2.087395,53720.4,0.03,True
argus-final,argus,Q02,votable,4,1,608,0.0,10.086,0.390822,0.423198,0.418909,53713.7,0.02,True
argus-final,argus,Q02,votable,4,2,536,0.0,8.878,0.485658,0.500735,0.494217,53708.3,0.015,True
argus-final,argus,Q02,votable,4,3,567,0.0,9.379,0.398638,0.495301,0.490905,53703.7,0.015,True
argus-final,argus,Q02,votable,8,1,957,0.0,15.824,0.501034,0.535214,0.529735,53704.8,0.025,True
argus-final,argus,Q02,votable,8,2,953,0.0,15.757,0.502096,0.539693,0.533065,53703.4,0.02,True
argus-final,argus,Q02,votable,8,3,953,0.0,15.76,0.503022,0.535434,0.529545,53731.8,0.04,True
argus-final,argus,Q03,votable,1,1,2492,0.0,41.53,0.014549,0.080932,0.07845,36742.8,0.16,True
