target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local-equalcpu,,Q10,csv,4,1,10990,91.558,120.066294,0.942267,458.618458,3.81971,0.041731,3268791429.565217,3293544448,8
egernia-local-equalcpu,,Q10,csv,4,2,11255,93.775,120.04874,0.985106,469.485392,3.91079,0.041713,3230517248.0,3236528128,8
egernia-local-equalcpu,,Q10,csv,4,3,10772,89.75,120.032041,0.984037,451.027427,3.757559,0.04187,3214119765.333333,3233927168,8
egernia-local-equalcpu,,Q10,csv,8,1,14791,123.207,120.078093,0.983457,688.23534,5.731565,0.046531,3186348544.0,3187359744,8
egernia-local-equalcpu,,Q10,csv,8,2,15359,127.951,120.054006,0.983688,718.575971,5.985439,0.046785,3171977557.333333,3185508352,8
egernia-local-equalcpu,,Q10,csv,8,3,14882,123.969,120.074237,0.9833,693.858381,5.778578,0.046624,3155740672.0,3156320256,8
egernia-local-equalcpu,,Q11,csv,1,1,358,2.98,120.138138,0.984931,101.693653,0.846473,0.28406,3265076565.333333,3277844480,8
egernia-local-equalcpu,,Q11,csv,1,2,353,2.869,123.055218,0.96066,100.500778,0.816713,0.284705,3263071402.666667,3266367488,8
egernia-local-equalcpu,,Q11,csv,1,3,354,2.946,120.153214,0.98181,100.41602,0.835733,0.283661,3223661568.0,3263279104,8
egernia-local-equalcpu,,Q11,csv,16,1,2109,17.502,120.500209,0.936657,804.887948,6.679556,0.381644,3212635625.73913,3225501696,8
egernia-local-equalcpu,,Q11,csv,16,2,2160,17.891,120.86382,0.977176,820.413301,6.787915,0.379821,3223834112.0,3246874624,8
egernia-local-equalcpu,,Q11,csv,16,3,2129,17.707,120.255197,0.983495,808.41453,6.722491,0.379716,3260057429.333333,3276681216,8
egernia-local-equalcpu,,Q11,csv,32,1,2268,18.733,121.102851,0.979313,902.573532,7.45295,0.39796,3350519978.666667,3384426496,8
egernia-local-equalcpu,,Q11,csv,32,2,2174,17.926,121.477164,0.976177,849.440025,6.99259,0.390727,3359259136.0,3392421888,8
egernia-local-equalcpu,,Q11,csv,32,3,2283,18.79,121.560686,0.935405,906.806891,7.459705,0.3972,3386561224.347826,3424477184,8
egernia-local-equalcpu,,Q11,csv,4,1,1162,9.664,120.378906,0.980655,362.830514,3.014071,0.312247,3228476586.666667,3233591296,8
egernia-local-equalcpu,,Q11,csv,4,2,1270,10.571,120.138329,0.93892,406.991612,3.387692,0.320466,3196014948.173913,3200897024,8
egernia-local-equalcpu,,Q11,csv,4,3,1230,10.235,120.529526,0.935462,384.242469,3.187953,0.312392,3197143307.130435,3212361728,8
egernia-local-equalcpu,,Q11,csv,8,1,1879,15.598,120.473368,0.978637,664.149858,5.512835,0.353459,3185418752.0,3195027456,8
egernia-local-equalcpu,,Q11,csv,8,2,1902,15.83,120.151066,0.981113,673.824929,5.608148,0.354272,3194932224.0,3203379200,8
egernia-local-equalcpu,,Q11,csv,8,3,1930,16.018,120.496631,0.935548,696.372512,5.779187,0.360815,3179926572.521739,3195080704,8
egernia-local-equalcpu,,Q12,csv,1,1,12954,107.949,120.001112,0.94501,113.877336,0.948969,0.008791,3337893086.608696,3348787200,8
egernia-local-equalcpu,,Q12,csv,1,2,13011,108.424,120.001315,0.942281,114.839022,0.956981,0.008826,3319563308.521739,3320143872,8
