target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok
argus-local,argus,Q12,csv,1,2,273,0.0,2.267,0.439698,0.457134,0.454471,109.0,0.015,True
argus-local,argus,Q12,csv,1,3,275,0.0,2.291,0.436066,0.455866,0.452422,109.0,0.015,True
argus-local,argus,Q12,csv,16,1,1711,0.0,14.156,1.124821,1.236368,1.231309,109.0,0.025,True
argus-local,argus,Q12,csv,16,2,1710,0.0,14.136,1.127845,1.24568,1.23878,109.0,0.025,True
argus-local,argus,Q12,csv,16,3,1714,0.0,14.16,1.125055,1.245455,1.239055,109.0,0.025,True
argus-local,argus,Q12,csv,32,1,1717,0.0,14.071,2.266333,2.482336,2.416076,109.0,0.03,True
argus-local,argus,Q12,csv,32,2,1719,0.0,14.076,2.260769,2.401935,2.397152,109.0,0.035,True
argus-local,argus,Q12,csv,32,3,1721,0.0,14.093,2.260558,2.404992,2.396408,109.0,0.03,True
argus-local,argus,Q12,csv,4,1,1024,0.0,8.506,0.446697,0.564296,0.560858,109.0,0.02,True
argus-local,argus,Q12,csv,4,2,961,0.0,7.983,0.480695,0.560139,0.555783,109.0,0.015,True
argus-local,argus,Q12,csv,4,3,1023,0.0,8.509,0.446093,0.558149,0.554292,109.0,0.015,True
argus-local,argus,Q12,csv,8,1,1675,0.0,13.902,0.568562,0.624648,0.620288,109.0,0.02,True
argus-local,argus,Q12,csv,8,2,1677,0.0,13.936,0.569896,0.617698,0.612879,109.0,0.02,True
argus-local,argus,Q12,csv,8,3,1672,0.0,13.877,0.568406,0.623437,0.618448,109.0,0.025,True
argus-local,argus,Q13,csv,1,1,314,0.0,2.615,0.385768,0.433643,0.429703,2264.6,0.02,True
argus-local,argus,Q13,csv,1,2,310,0.0,2.582,0.391726,0.439784,0.436704,2265.5,0.015,True
argus-local,argus,Q13,csv,1,3,313,0.0,2.606,0.38601,0.436635,0.434142,2263.9,0.02,True
argus-local,argus,Q13,csv,16,1,2031,0.0,16.816,0.947006,1.097276,1.090855,2264.2,0.025,True
argus-local,argus,Q13,csv,16,2,2021,0.0,16.716,0.951711,1.09944,1.094394,2264.3,0.025,True
argus-local,argus,Q13,csv,16,3,2042,0.0,16.912,0.941264,1.095516,1.090225,2264.1,0.025,True
argus-local,argus,Q13,csv,32,1,2028,0.0,16.654,1.915703,2.084503,2.078517,2264.2,0.035,True
argus-local,argus,Q13,csv,32,2,2020,0.0,16.578,1.899072,2.118819,2.087896,2264.4,0.035,True
argus-local,argus,Q13,csv,32,3,2041,0.0,16.746,1.903571,2.08089,2.074137,2264.2,0.035,True
argus-local,argus,Q13,csv,4,1,1139,0.0,9.464,0.410897,0.535962,0.531935,2264.5,0.015,True
argus-local,argus,Q13,csv,4,2,1148,0.0,9.542,0.412548,0.510029,0.505374,2264.1,0.015,True
argus-local,argus,Q13,csv,4,3,1183,0.0,9.827,0.403408,0.500226,0.495635,2263.8,0.015,True
argus-local,argus,Q13,csv,8,1,1962,0.0,16.287,0.486015,0.584695,0.577563,2264.0,0.025,True
argus-local,argus,Q13,csv,8,2,1958,0.0,16.268,0.489253,0.584003,0.578736,2264.3,0.025,True
argus-local,argus,Q13,csv,8,3,1963,0.0,16.317,0.490024,0.587959,0.582956,2264.0,0.025,True
argus-local,argus,mix,csv,1,1,450,0.0,3.748,0.402727,0.43498,0.430672,37785.2,0.03,True
argus-local,argus,mix,csv,1,2,460,0.0,3.824,0.400911,0.438563,0.43509,43485.0,0.035,True
argus-local,argus,mix,csv,1,3,473,0.0,3.935,0.400561,0.438276,0.43195,48224.1,0.04,True
argus-local,argus,mix,csv,16,1,2874,0.0,23.837,0.751665,1.035205,1.027968,42947.8,0.045,True
argus-local,argus,mix,csv,16,2,2900,0.0,23.994,0.743389,1.035934,1.029707,41589.2,0.04,True
argus-local,argus,mix,csv,16,3,2899,0.0,24.02,0.739282,1.030866,1.025393,45318.8,0.04,True
argus-local,argus,mix,csv,32,1,2790,0.0,22.997,1.392683,1.782831,1.755012,42611.1,0.045,True
argus-local,argus,mix,csv,32,2,2906,0.0,23.918,1.357765,1.799058,1.791617,41605.0,0.045,True
argus-local,argus,mix,csv,32,3,2904,0.0,23.952,1.36272,1.745941,1.741154,45569.1,0.045,True
argus-local,argus,mix,csv,4,1,1672,0.0,13.898,0.413317,0.536727,0.532391,42864.8,0.03,True
argus-local,argus,mix,csv,4,2,1614,0.0,13.403,0.42297,0.536633,0.532738,42961.5,0.03,True
argus-local,argus,mix,csv,4,3,1784,0.0,14.819,0.409339,0.463803,0.459573,44962.5,0.035,True
argus-local,argus,mix,csv,8,1,2763,0.0,22.946,0.512587,0.598216,0.592777,42711.1,0.045,True
argus-local,argus,mix,csv,8,2,2779,0.0,23.056,0.512919,0.598232,0.592732,41608.2,0.05,True
argus-local,argus,mix,csv,8,3,2808,0.0,23.308,0.511192,0.593142,0.588112,45305.1,0.045,True
argus-local,argus,Q01,votable,1,1,10129,0.0,84.404,0.011447,0.014797,0.012029,2254.0,0.25,True
argus-local,argus,Q01,votable,1,2,10103,0.0,84.187,0.011485,0.014794,0.012155,2254.0,0.255,True
argus-local,argus,Q01,votable,1,3,10141,0.0,84.508,0.011481,0.014808,0.012065,2254.0,0.25,True
argus-local,argus,Q01,votable,16,1,52713,0.0,439.215,0.034267,0.050346,0.03993,2254.0,0.495,True
argus-local,argus,Q01,votable,16,2,65166,0.0,542.953,0.027981,0.035552,0.028137,2254.0,0.505,True
argus-local,argus,Q01,votable,16,3,66737,0.0,556.028,0.02795,0.035358,0.028066,2254.0,0.505,True
argus-local,argus,Q01,votable,32,1,66900,0.0,557.322,0.056769,0.068052,0.055647,2254.0,0.51,True
argus-local,argus,Q01,votable,32,2,65372,0.0,544.582,0.057109,0.068316,0.055983,2254.0,0.515,True
argus-local,argus,Q01,votable,32,3,66583,0.0,554.708,0.056993,0.068419,0.055892,2254.0,0.505,True
argus-local,argus,Q01,votable,4,1,30221,0.0,251.821,0.014935,0.018689,0.014875,2254.0,0.245,True
argus-local,argus,Q01,votable,4,2,30751,0.0,256.23,0.014931,0.018607,0.014811,2254.0,0.23,True
argus-local,argus,Q01,votable,4,3,30982,0.0,258.166,0.014992,0.018715,0.014853,2254.0,0.235,True
argus-local,argus,Q01,votable,8,1,48252,0.0,402.056,0.019117,0.023781,0.018807,2254.0,0.355,True
argus-local,argus,Q01,votable,8,2,47865,0.0,398.815,0.019135,0.023807,0.018785,2254.0,0.355,True
argus-local,argus,Q01,votable,8,3,49318,0.0,410.932,0.019104,0.023831,0.018799,2254.0,0.36,True
argus-local,argus,Q02,votable,1,1,297,0.0,2.472,0.403438,0.422755,0.417974,53719.2,0.015,True
argus-local,argus,Q02,votable,1,2,291,0.0,2.418,0.413049,0.430002,0.425555,53693.2,0.015,True
argus-local,argus,Q02,votable,1,3,292,0.0,2.428,0.411883,0.428828,0.424634,53711.2,0.015,True
argus-local,argus,Q02,votable,16,1,1875,0.0,15.516,1.024056,1.109086,1.100819,53711.9,0.03,True
argus-local,argus,Q02,votable,16,2,1852,0.0,15.308,1.029768,1.142359,1.102381,53723.0,0.03,True
argus-local,argus,Q02,votable,16,3,1878,0.0,15.528,1.02281,1.110956,1.103383,53710.7,0.025,True
argus-local,argus,Q02,votable,32,1,1891,0.0,15.511,2.048667,2.171984,2.16477,53711.3,0.035,True
argus-local,argus,Q02,votable,32,2,1894,0.0,15.559,2.047224,2.174307,2.167785,53720.4,0.03,True
argus-local,argus,Q02,votable,32,3,1895,0.0,15.531,2.049391,2.18234,2.175987,53711.9,0.035,True
argus-local,argus,Q02,votable,4,1,1086,0.0,9.019,0.425505,0.506257,0.500539,53719.4,0.04,True
argus-local,argus,Q02,votable,4,2,1054,0.0,8.761,0.444664,0.506584,0.501476,53718.3,0.015,True
argus-local,argus,Q02,votable,4,3,1064,0.0,8.847,0.433902,0.505801,0.499527,53717.8,0.02,True
argus-local,argus,Q02,votable,8,1,1841,0.0,15.282,0.516831,0.56598,0.559324,53712.7,0.025,True
argus-local,argus,Q02,votable,8,2,1839,0.0,15.273,0.516859,0.564309,0.558968,53722.1,0.025,True
argus-local,argus,Q02,votable,8,3,1837,0.0,15.253,0.516615,0.569221,0.561846,53710.4,0.025,True
argus-local,argus,Q03,votable,1,1,4493,0.0,37.433,0.016826,0.08483,0.081887,36639.4,0.165,True
argus-local,argus,Q03,votable,1,2,4511,0.0,37.588,0.016759,0.085345,0.082278,36726.7,0.155,True
argus-local,argus,Q03,votable,1,3,4425,0.0,36.818,0.01693,0.085662,0.082614,36667.3,0.155,True
argus-local,argus,Q03,votable,16,1,28415,0.0,236.513,0.049654,0.178878,0.169727,36765.8,0.28,True
argus-local,argus,Q03,votable,16,2,28422,0.0,236.646,0.049878,0.17928,0.169286,36828.9,0.265,True
argus-local,argus,Q03,votable,16,3,27701,0.0,230.611,0.05016,0.183108,0.171926,36764.6,0.28,True
argus-local,argus,Q03,votable,32,1,28252,0.0,235.09,0.120201,0.253177,0.241449,36763.8,0.28,True
argus-local,argus,Q03,votable,32,2,28661,0.0,238.502,0.118646,0.248448,0.239705,36830.0,0.275,True
argus-local,argus,Q03,votable,32,3,20156,0.0,166.243,0.123373,0.680771,0.5227,36717.7,0.265,True
argus-local,argus,Q03,votable,4,1,14894,0.0,124.096,0.021366,0.100298,0.09644,36800.1,0.175,True
argus-local,argus,Q03,votable,4,2,14524,0.0,121.012,0.021294,0.100056,0.096136,36810.8,0.16,True
argus-local,argus,Q03,votable,4,3,14888,0.0,123.994,0.02115,0.099498,0.095434,36819.1,0.165,True
argus-local,argus,Q03,votable,8,1,23235,0.0,193.483,0.028694,0.120671,0.114693,36766.9,0.235,True
argus-local,argus,Q03,votable,8,2,23201,0.0,193.179,0.028617,0.120335,0.114364,36828.3,0.24,True
argus-local,argus,Q03,votable,8,3,23354,0.0,194.45,0.028589,0.119609,0.113951,36738.4,0.23,True
argus-local,argus,Q04,votable,1,1,5466,0.0,45.55,0.021731,0.025918,0.020247,82211.9,0.205,True
argus-local,argus,Q04,votable,1,2,5501,0.0,45.84,0.021562,0.025941,0.020204,82208.5,0.2,True
argus-local,argus,Q04,votable,1,3,5474,0.0,45.61,0.021671,0.025815,0.0201,82190.9,0.2,True
argus-local,argus,Q04,votable,16,1,32979,0.0,274.698,0.056383,0.07384,0.056816,82199.4,0.355,True
argus-local,argus,Q04,votable,16,2,33356,0.0,277.875,0.056802,0.073726,0.056919,82199.0,0.355,True
argus-local,argus,Q04,votable,16,3,33151,0.0,276.157,0.057037,0.07432,0.05743,82195.2,0.355,True
argus-local,argus,Q04,votable,32,1,32854,0.0,273.588,0.116064,0.136808,0.120161,82199.8,0.35,True
argus-local,argus,Q04,votable,32,2,32827,0.0,273.375,0.11643,0.136737,0.120331,82199.1,0.37,True
argus-local,argus,Q04,votable,32,3,33076,0.0,275.457,0.115334,0.135839,0.119298,82195.1,0.345,True
argus-local,argus,Q04,votable,4,1,17129,0.0,142.714,0.027418,0.033827,0.026207,82195.8,0.195,True
argus-local,argus,Q04,votable,4,2,17243,0.0,143.668,0.027342,0.033872,0.026246,82202.2,0.18,True
argus-local,argus,Q04,votable,4,3,17281,0.0,143.987,0.027256,0.033614,0.026164,82198.9,0.185,True
argus-local,argus,Q04,votable,8,1,26512,0.0,220.879,0.035651,0.044773,0.034316,82202.9,0.275,True
argus-local,argus,Q04,votable,8,2,26526,0.0,221.004,0.035665,0.044677,0.034254,82200.1,0.28,True
argus-local,argus,Q04,votable,8,3,25822,0.0,215.129,0.035713,0.044842,0.034344,82195.4,0.275,True
argus-local,argus,Q05,votable,1,1,281,0.0,2.334,0.426533,0.445061,0.442165,7751.8,0.015,True
argus-local,argus,Q05,votable,1,2,279,0.0,2.322,0.429697,0.447643,0.444081,8223.5,0.015,True
argus-local,argus,Q05,votable,1,3,281,0.0,2.339,0.426272,0.4438,0.441415,8126.7,0.015,True
argus-local,argus,Q05,votable,16,1,1739,0.0,14.366,1.106406,1.216114,1.211339,8101.3,0.045,True
argus-local,argus,Q05,votable,16,2,1729,0.0,14.306,1.11173,1.213454,1.208052,8342.7,0.035,True
argus-local,argus,Q05,votable,16,3,1734,0.0,14.332,1.111154,1.235199,1.228627,8208.6,0.04,True
